INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 001', '내용 001', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 049', '내용 049', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 050', '내용 050', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 051', '내용 051', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 052', '내용 052', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 053', '내용 053', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 054', '내용 054', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 055', '내용 055', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 056', '내용 056', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 057', '내용 057', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 058', '내용 058', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 059', '내용 059', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 060', '내용 060', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 061', '내용 061', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 062', '내용 062', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 063', '내용 063', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 064', '내용 064', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 065', '내용 065', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 066', '내용 066', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 067', '내용 067', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 068', '내용 068', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 069', '내용 069', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 070', '내용 070', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 071', '내용 071', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 072', '내용 072', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 073', '내용 073', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 074', '내용 074', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 075', '내용 075', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 076', '내용 076', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 077', '내용 077', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 078', '내용 078', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 079', '내용 079', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 080', '내용 080', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 081', '내용 081', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 082', '내용 082', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 083', '내용 083', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 084', '내용 084', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 085', '내용 085', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 086', '내용 086', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 087', '내용 087', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 088', '내용 088', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 089', '내용 089', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 090', '내용 090', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 091', '내용 091', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 092', '내용 092', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 093', '내용 093', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 094', '내용 094', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 095', '내용 095', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 096', '내용 096', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 097', '내용 097', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 098', '내용 098', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 099', '내용 099', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 100', '내용 100', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 101', '내용 101', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 102', '내용 102', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 103', '내용 103', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 104', '내용 104', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 105', '내용 105', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 106', '내용 106', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 107', '내용 107', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 108', '내용 108', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 109', '내용 109', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 110', '내용 110', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 111', '내용 111', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 112', '내용 112', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 113', '내용 113', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 114', '내용 114', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 115', '내용 115', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 116', '내용 116', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 117', '내용 117', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 118', '내용 118', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 119', '내용 119', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 120', '내용 120', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 121', '내용 121', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 122', '내용 122', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 123', '내용 123', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 124', '내용 124', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 125', '내용 125', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 126', '내용 126', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 127', '내용 127', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 128', '내용 128', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 129', '내용 129', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 130', '내용 130', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 131', '내용 131', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 132', '내용 132', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 133', '내용 133', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 134', '내용 134', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 135', '내용 135', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 136', '내용 136', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 137', '내용 137', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 138', '내용 138', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 139', '내용 139', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 140', '내용 140', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 141', '내용 141', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 142', '내용 142', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 143', '내용 143', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 144', '내용 144', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 145', '내용 145', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 146', '내용 146', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 147', '내용 147', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 148', '내용 148', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 149', '내용 149', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 150', '내용 150', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 151', '내용 151', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 152', '내용 152', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 153', '내용 153', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 154', '내용 154', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 155', '내용 155', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 156', '내용 156', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 157', '내용 157', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 158', '내용 158', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 159', '내용 159', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 160', '내용 160', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 161', '내용 161', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 162', '내용 162', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 163', '내용 163', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 164', '내용 164', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 165', '내용 165', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 166', '내용 166', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 167', '내용 167', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 168', '내용 168', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 169', '내용 169', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 170', '내용 170', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 171', '내용 171', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 172', '내용 172', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 173', '내용 173', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 174', '내용 174', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 175', '내용 175', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 176', '내용 176', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 177', '내용 177', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 178', '내용 178', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 179', '내용 179', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 180', '내용 180', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 181', '내용 181', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 182', '내용 182', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 183', '내용 183', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 184', '내용 184', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 185', '내용 185', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 186', '내용 186', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 187', '내용 187', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 188', '내용 188', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 189', '내용 189', '전성익', 0, NOW(), NOW(), 'Y');
INSERT INTO Board_TB (title, contents, author, hit, time, UPtime, see) VALUES ('제목 190', '내용 190', '전성익', 0, NOW(), NOW(), 'Y');
